Unnamed: 0,text,preprocess_texts,tokens,tokens_no_stopwords
60,RT @iraneazad99: @AntiProp_aganda رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده,رئیسی جاش خوبه یحتمل نظر عاقا این دفعه به لاریجانی نزدیکه لابد برای رهبری مجتبی هم با دو تاشون توافق شده,"['رئیسی', 'جاش', 'خوبه', 'یحتمل', 'نظر', 'عاقا', 'این', 'دفعه', 'به', 'لاریجانی', 'نزدیکه', 'لابد', 'برای', 'رهبری', 'مجتبی', 'هم', 'با', 'دو', 'تاشون', 'توافق', 'شده']","['رئیسی', 'جاش', 'خوبه', 'یحتمل', 'عاقا', 'دفعه', 'لاریجانی', 'نزدیکه', 'لابد', 'رهبری', 'مجتبی', 'تاشون', 'توافق']"
61,"RT @bahargods: نمایندگان محترم مجلس!
مستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی ،برخلاف دستور معظمٌ له فرسایشی شده وبرای بار چندم ا…",نمایندگان محترم مجلسمستحضر هستید که مذاکرات وین به سرپرستی آقای عراقچی برخلاف دستور معظمٌ له فرسایشی شده وبرای بار چندم ا,"['نمایندگان', 'محترم', 'مجلسمستحضر', 'هستید', 'که', 'مذاکرات', 'وین', 'به', 'سرپرستی', 'آقای', 'عراقچی', 'برخلاف', 'دستور', 'معظمٌ', 'له', 'فرسایشی', 'شده', 'وبرای', 'بار', 'چندم', 'ا']","['نمایندگان', 'محترم', 'مجلسمستحضر', 'هستید', 'مذاکرات', 'وین', 'سرپرستی', 'عراقچی', 'برخلاف', 'دستور', 'معظمٌ', 'له', 'فرسایشی', 'وبرای', 'چندم', 'ا']"
62,@Narengi92 فکر کن تو که دلت اینجوری سوخت من چی میکشم😔,فکر کن تو که دلت اینجوری سوخت من چی میکشم,"['فکر', 'کن', 'تو', 'که', 'دلت', 'اینجوری', 'سوخت', 'من', 'چی', 'میکشم']","['کن', 'دلت', 'اینجوری', 'سوخت', 'چی', 'میکشم']"
63,@ghoghol_nofski جدی؟,جدی,['جدی'],[]
64,"RT @motalitae_2: از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشم...
اینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار…",از بی تی اس ممنونم چون باعث شدن خودمو دوست داشته باشماینکه ببینی ی نفر از خودش راضی و نیست و خودشو دوست نداره خیلی نار,"['از', 'بی', 'تی', 'اس', 'ممنونم', 'چون', 'باعث', 'شدن', 'خودمو', 'دوست', 'داشته', 'باشماینکه', 'ببینی', 'ی', 'نفر', 'از', 'خودش', 'راضی', 'و', 'نیست', 'و', 'خودشو', 'دوست', 'نداره', 'خیلی', 'نار']","['تی', 'اس', 'ممنونم', 'خودمو', 'دوست', 'باشماینکه', 'ببینی', 'ی', 'نفر', 'راضی', 'خودشو', 'دوست', 'نداره', 'نار']"
65,"@Realbaekwife @weareoneEXO @B_hundred_Hyun @layzhang پول پول پول

میشه پرتقالمو لایک کنین😁❤️… https://t.co/dK2AQa5vYm",پول پول پولمیشه پرتقالمو لایک کنین❤️,"['پول', 'پول', 'پولمیشه', 'پرتقالمو', 'لایک', 'کنین❤️']","['پول', 'پول', 'پولمیشه', 'پرتقالمو', 'لایک', 'کنین❤️']"
66,"از اسب افتادیم ،از اصل که نیافتادیم .
تاجی همیشه تاجی ،آبی همیشه آبی 💙💙💙💙💙💙💙💙💙💙💙💙",از اسب افتادیم از اصل که نیافتادیم تاجی همیشه تاجی آبی همیشه آبی,"['از', 'اسب', 'افتادیم', 'از', 'اصل', 'که', 'نیافتادیم', 'تاجی', 'همیشه', 'تاجی', 'آبی', 'همیشه', 'آبی']","['اسب', 'افتادیم', 'اصل', 'نیافتادیم', 'تاجی', 'تاجی', 'آبی', 'آبی']"
67,"RT @ParkBH_64: فقط برای یاداوری!! 
ما اومدیم توییتر برای حمایت، اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم، اومدیم برای هشتگا، رای گ…",فقط برای یاداوری ما اومدیم توییتر برای حمایت اومدیم عکسای قشنگ از اعضا رو بریزیم توی لاین تایم اومدیم برای هشتگا رای گ,"['فقط', 'برای', 'یاداوری', 'ما', 'اومدیم', 'توییتر', 'برای', 'حمایت', 'اومدیم', 'عکسای', 'قشنگ', 'از', 'اعضا', 'رو', 'بریزیم', 'توی', 'لاین', 'تایم', 'اومدیم', 'برای', 'هشتگا', 'رای', 'گ']","['یاداوری', 'اومدیم', 'توییتر', 'حمایت', 'اومدیم', 'عکسای', 'قشنگ', 'اعضا', 'بریزیم', 'توی', 'لاین', 'تایم', 'اومدیم', 'هشتگا', 'رای', 'گ']"
68,@iamiref11 وقتی امیو مجبور کردن غذارو درست کنه:,وقتی امیو مجبور کردن غذارو درست کنه,"['وقتی', 'امیو', 'مجبور', 'کردن', 'غذارو', 'درست', 'کنه']","['امیو', 'مجبور', 'غذارو', 'درست', 'کنه']"
69,"RT @omiiid_1995: با انتخاب رئیس جمهور انقلابی تموم توصیه های روی زمین مونده رهبرم به سرانجام میرسه

 #کرمان_قهرمان_پرور",با انتخاب رئیس جمهور انقلابی تموم توصیه های روی زمین مونده رهبرم به سرانجام میرسه  کرمان قهرمان پرور,"['با', 'انتخاب', 'رئیس', 'جمهور', 'انقلابی', 'تموم', 'توصیه', 'های', 'روی', 'زمین', 'مونده', 'رهبرم', 'به', 'سرانجام', 'میرسه', 'کرمان', 'قهرمان', 'پرور']","['انتخاب', 'رئیس', 'جمهور', 'انقلابی', 'تموم', 'توصیه', 'های', 'زمین', 'مونده', 'رهبرم', 'سرانجام', 'میرسه', 'کرمان', 'قهرمان', 'پرور']"
70,RT @Shangool1012: گمم نکنید و از اینجور صحبتا https://t.co/zc9ZdBktBu,گمم نکنید و از اینجور صحبتا,"['گمم', 'نکنید', 'و', 'از', 'اینجور', 'صحبتا']","['گمم', 'نکنید', 'اینجور', 'صحبتا']"
71,@ZAYN_ASALL نه نمیشه من رفیقتم نباید اینکارو باهام میکردی....,نه نمیشه من رفیقتم نباید اینکارو باهام میکردی,"['نه', 'نمیشه', 'من', 'رفیقتم', 'نباید', 'اینکارو', 'باهام', 'میکردی']","['نمیشه', 'رفیقتم', 'اینکارو', 'باهام', 'میکردی']"
72,@lls_k_shll وقتی ندونه چکارش کنیم؟,وقتی ندونه چکارش کنیم,"['وقتی', 'ندونه', 'چکارش', 'کنیم']","['ندونه', 'چکارش']"
73,RT @IRANIMALRIGHTS: به دنبال انتشار ویدیوی #سگ_کشی و اعدام سگ‌ها توسط #شهرداری_تبریز در شبکه‌های مجازی، گروهی از #حامیان_حیوانات مقابل #شهر…,به دنبال انتشار ویدیوی  سگ کشی و اعدام سگها توسط  شهرداری تبریز در شبکههای مجازی گروهی از  حامیان حیوانات مقابل  شهر,"['به', 'دنبال', 'انتشار', 'ویدیوی', 'سگ', 'کشی', 'و', 'اعدام', 'سگها', 'توسط', 'شهرداری', 'تبریز', 'در', 'شبکههای', 'مجازی', 'گروهی', 'از', 'حامیان', 'حیوانات', 'مقابل', 'شهر']","['دنبال', 'انتشار', 'ویدیوی', 'سگ', 'کشی', 'اعدام', 'سگها', 'توسط', 'شهرداری', 'تبریز', 'شبکههای', 'مجازی', 'حامیان', 'حیوانات', 'مقابل', 'شهر']"
74,RT @Polyhedron__: لطفا کمی صدای سکوت را بیشتر کنید ، آرامشش به گوش نمیرسد )),لطفا کمی صدای سکوت را بیشتر کنید  آرامشش به گوش نمیرسد,"['لطفا', 'کمی', 'صدای', 'سکوت', 'را', 'بیشتر', 'کنید', 'آرامشش', 'به', 'گوش', 'نمیرسد']","['لطفا', 'صدای', 'سکوت', 'آرامشش', 'گوش', 'نمیرسد']"
75,"@Mahdiye7467 🌹🙏
ممنون 
زیبا میبینید",ممنون زیبا میبینید,"['ممنون', 'زیبا', 'میبینید']","['ممنون', 'زیبا', 'میبینید']"
76,"RT @FatemeSadatarfa: از خداوند متعال برایتان سلامتی، بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم 
#رئیسی_متشکریم
،،،::::",از خداوند متعال برایتان سلامتی بهروزی و توفیق استمرار خدمتگزاری را مسئلت دارم  رئیسی متشکریم,"['از', 'خداوند', 'متعال', 'برایتان', 'سلامتی', 'بهروزی', 'و', 'توفیق', 'استمرار', 'خدمتگزاری', 'را', 'مسئلت', 'دارم', 'رئیسی', 'متشکریم']","['خداوند', 'متعال', 'برایتان', 'سلامتی', 'بهروزی', 'توفیق', 'استمرار', 'خدمتگزاری', 'مسئلت', 'دارم', 'رئیسی', 'متشکریم']"
77,@mozmen1 پس اشنا برای همین توییت زد🤔,پس اشنا برای همین توییت زد,"['پس', 'اشنا', 'برای', 'همین', 'توییت', 'زد']","['اشنا', 'توییت', 'زد']"
78,"@elnaz1485 @weareoneEXO @B_hundred_Hyun @layzhang میشه پرتقالمو لایک کنین😁❤️
https://t.co/HuP3mwbKgL
فالومم کنین بک… https://t.co/7UoIiPAcKk",میشه پرتقالمو لایک کنین❤️فالومم کنین بک,"['میشه', 'پرتقالمو', 'لایک', 'کنین❤️فالومم', 'کنین', 'بک']","['میشه', 'پرتقالمو', 'لایک', 'کنین❤️فالومم', 'کنین', 'بک']"
79,"و به نیمه رسید💀
باران حقیقیت ،باران درد برده دارن
PAIN. PAIN. PAIN. PAIN",و به نیمه رسیدباران حقیقیت باران درد برده دارنpain pain pain pain,"['و', 'به', 'نیمه', 'رسیدباران', 'حقیقیت', 'باران', 'درد', 'برده', 'دارنpain', 'pain', 'pain', 'pain']","['رسیدباران', 'حقیقیت', 'باران', 'درد', 'برده', 'دارنpain', 'pain', 'pain', 'pain']"
80,RT @MbShahnaz: ایرانی لبا شرف سکوت =خیانت به آب و خاک اجدادی مان ایران است.👇👇👇👇👇👇👇,ایرانی لبا شرف سکوت خیانت به آب و خاک اجدادی مان ایران است,"['ایرانی', 'لبا', 'شرف', 'سکوت', 'خیانت', 'به', 'آب', 'و', 'خاک', 'اجدادی', 'مان', 'ایران', 'است']","['ایرانی', 'لبا', 'شرف', 'سکوت', 'خیانت', 'آب', 'خاک', 'اجدادی', 'مان', 'ایران']"
81,"@KhodetMiidoni هر وقت نعیما طاهری رو دادن به من 
اونوقت تصمیم بگیرید",هر وقت نعیما طاهری رو دادن به من اونوقت تصمیم بگیرید,"['هر', 'وقت', 'نعیما', 'طاهری', 'رو', 'دادن', 'به', 'من', 'اونوقت', 'تصمیم', 'بگیرید']","['وقت', 'نعیما', 'طاهری', 'اونوقت', 'تصمیم', 'بگیرید']"
82,@Nav3d3 تشکر,تشکر,['تشکر'],['تشکر']
83,@DashJafar نه. نداره 😂,نه نداره,"['نه', 'نداره']",['نداره']
84,"RT @Farzad_mpur: اصولگرا، برانداز، پیوندتان مبارک
تا زمانی که اصولگراهای بی‌بصیرت هستند، اصلاحات نیازی به تبلیغات ندارد
#نه_به_رئيسی #دولت_…",اصولگرا برانداز پیوندتان مبارکتا زمانی که اصولگراهای بیبصیرت هستند اصلاحات نیازی به تبلیغات ندارد نه به رئيسی  دولت,"['اصولگرا', 'برانداز', 'پیوندتان', 'مبارکتا', 'زمانی', 'که', 'اصولگراهای', 'بیبصیرت', 'هستند', 'اصلاحات', 'نیازی', 'به', 'تبلیغات', 'ندارد', 'نه', 'به', 'رئيسی', 'دولت']","['اصولگرا', 'برانداز', 'پیوندتان', 'مبارکتا', 'زمانی', 'اصولگراهای', 'بیبصیرت', 'اصلاحات', 'نیازی', 'تبلیغات', 'رئيسی', 'دولت']"
85,‌اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب… https://t.co/PmdpWs57is,اسحاق جهانگیری نامزد انتخابات ریاست جمهوری شد معاون اول رئیس جمهوری با حضور در وزارت کشور برای نامزد شدن در انتخاب,"['اسحاق', 'جهانگیری', 'نامزد', 'انتخابات', 'ریاست', 'جمهوری', 'شد', 'معاون', 'اول', 'رئیس', 'جمهوری', 'با', 'حضور', 'در', 'وزارت', 'کشور', 'برای', 'نامزد', 'شدن', 'در', 'انتخاب']","['اسحاق', 'جهانگیری', 'نامزد', 'انتخابات', 'ریاست', 'جمهوری', 'معاون', 'رئیس', 'جمهوری', 'حضور', 'وزارت', 'کشور', 'نامزد', 'انتخاب']"
86,@talabeyakuza @Mamadanof @AliirezzaaaaAM کیر طلایی باشه لطفا 🙏🏻😂,کیر طلایی باشه لطفا,"['کیر', 'طلایی', 'باشه', 'لطفا']","['کیر', 'طلایی', 'باشه', 'لطفا']"
87,"مارز‌ رو انقدراهم بس اطمینان نکن
همین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم برد
و برای کپی‌رایت چنان ق… https://t.co/MOl2S5rEP3",مارز رو انقدراهم بس اطمینان نکنهمین جناب کسایی دیگه ایو بعنوان بهترین دنسرای کیپاپ اسم بردو برای کپیرایت چنان ق,"['مارز', 'رو', 'انقدراهم', 'بس', 'اطمینان', 'نکنهمین', 'جناب', 'کسایی', 'دیگه', 'ایو', 'بعنوان', 'بهترین', 'دنسرای', 'کیپاپ', 'اسم', 'بردو', 'برای', 'کپیرایت', 'چنان', 'ق']","['مارز', 'انقدراهم', 'بس', 'اطمینان', 'نکنهمین', 'جناب', 'کسایی', 'دیگه', 'ایو', 'بعنوان', 'دنسرای', 'کیپاپ', 'اسم', 'بردو', 'کپیرایت', 'چنان', 'ق']"
88,@syjebraily چون از قدیم گفتن آدم دروغگو کم حافظه هم هست .👌,چون از قدیم گفتن آدم دروغگو کم حافظه هم هست,"['چون', 'از', 'قدیم', 'گفتن', 'آدم', 'دروغگو', 'کم', 'حافظه', 'هم', 'هست']","['قدیم', 'گفتن', 'آدم', 'دروغگو', 'حافظه', 'هست']"
89,@baaayraam آره کلا اشتباه کردم ، اینا تربیت ناپذیر هستن,آره کلا اشتباه کردم  اینا تربیت ناپذیر هستن,"['آره', 'کلا', 'اشتباه', 'کردم', 'اینا', 'تربیت', 'ناپذیر', 'هستن']","['آره', 'کلا', 'اشتباه', 'اینا', 'تربیت', 'ناپذیر', 'هستن']"
